"Summary","Issue Type","Priority","Labels","Description"
"Insecure Corporate Email Substring Check Grants 100% Pass Subsidies to Arbitrary Fake Emails","Bug","High","backend corporate","[SEVERITY & IMPACT]
P1 - Critical Financial Loss & Subsidy Fraud.
Anyone typing an email containing the word ""google"", ""tcs"", or ""infosys"" anywhere in their address (e.g. fake.google@mailinator.com) automatically unlocks up to a 100% free corporate pass discount without domain verification or work email OTP.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/modules/ecosystem/controller/EcosystemController.java (Lines 99-109)

[TECHNICAL ROOT CAUSE]
verifyCorporate uses loose substring matching: email.contains(""tcs"") ? 60 : email.contains(""google"") ? 100 : ... without verifying exact corporate domain (@google.com) or dispatching an email OTP challenge.

[STEPS TO REPRODUCE]
1. Send POST to /api/v1/ecosystem/corporate/verify with payload {""email"": ""attacker.google@tempmail.org""}.
2. Response returns: ""verified"": true, ""subsidyPercentage"": 100.
3. Attacker buys a ₹7,999 annual pass for ₹0.

[EXPECTED BEHAVIOR]
Corporate verification must match verified company domain lists (e.g. @google.com, @tcs.com) and require a 6-digit verification code sent to that official inbox.

[ACTUAL BEHAVIOR]
Naive substring match gives 100% discounts to anyone who puts ""google"" in their username.

[PROPOSED RESOLUTION]
Validate domain suffix against registered CorporatePartnership table and require email OTP verification before subsidy coupon activation."
"Ecosystem Food and Nutrition Catalog Hardcoded in Java Controller Lacks Database Persistence","Improvement","Low","backend database","[SEVERITY & IMPACT]
P3 - Content Management & Scalability.
Nutritionists cannot add new Indian regional dishes or edit macronutrient values without requiring backend developers to edit Java source code and redeploy the entire backend service.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/modules/ecosystem/controller/EcosystemController.java (Lines 43-56)

[TECHNICAL ROOT CAUSE]
getFoods() returns a hardcoded Arrays.asList(Map.of(...)) containing 10 static food items instead of querying a FoodItemRepository backed by PostgreSQL.

[STEPS TO REPRODUCE]
1. Attempt to add a new dish (e.g. ""Moong Dal Khichdi"") to the food library.
2. No admin API or database table exists; requires modifying EcosystemController.java.

[EXPECTED BEHAVIOR]
Foods should be stored in a food_items table manageable via admin portal REST APIs.

[ACTUAL BEHAVIOR]
Hardcoded in-memory Java map list.

[PROPOSED RESOLUTION]
Create FoodItem JPA entity, repository, and CRUD endpoints in the ecosystem module."
"Missing B2B Monthly Corporate Billing and Utilization Statements for Partner Companies","Improvement","Low","backend corporate","[SEVERITY & IMPACT]
P3 - B2B Commercial Enterprise Feature.
Corporate HR heads (e.g. at TCS or Google) have no dashboard or automated monthly invoices showing how many employees utilized gym passes and the total co-funded subsidy bill.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/modules/ecosystem/

[TECHNICAL ROOT CAUSE]
There is no CorporateBillingService aggregating monthly employee check-in costs into B2B corporate billing invoices.

[STEPS TO REPRODUCE]
1. Corporate employees check into gyms under corporate pass plan.
2. At month-end, finance team has no automated report to bill the corporate client for employee subsidies.

[EXPECTED BEHAVIOR]
Automated monthly cron generating corporate utilization statements and consolidated tax invoices.

[ACTUAL BEHAVIOR]
No corporate billing infrastructure exists.

[PROPOSED RESOLUTION]
Build CorporateStatementService generating monthly B2B billing statements based on active employee pass counts."
"Corporate Employee Quota Limit Not Enforced Allowing Unlimited Subsidized Registrations","Bug","High","backend corporate","[SEVERITY & IMPACT]
P1 - Enterprise Contract Breach.
If a corporate contract specifies a cap of 200 sponsored gym passes, the system allows 500+ employees to register, exceeding corporate budgets and triggering client billing disputes.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/modules/ecosystem/controller/EcosystemController.java

[TECHNICAL ROOT CAUSE]
verifyCorporate does not check active employee pass count against the corporate partnership plan allocation limit.

[STEPS TO REPRODUCE]
1. Contract with Enterprise X caps sponsored memberships at 50.
2. 51st employee registers with corporate email.
3. System grants 100% subsidy without checking quota limit.

[EXPECTED BEHAVIOR]
51st employee should be placed on a corporate waitlist or prompted to request HR approval.

[ACTUAL BEHAVIOR]
Unrestricted registrations exceed contract capacity.

[PROPOSED RESOLUTION]
Enforce corporatePartnership.getActivePassCount() < corporatePartnership.getAllocatedQuota() check before issuing corporate pass."
"Store Products Hardcoded in Ecosystem Controller Lack Inventory Stock Counts and Tracking","Bug","Medium","backend store","[SEVERITY & IMPACT]
P2 - Inventory Overselling & Fulfillment Failure.
Supplements and equipment items in /store/products have hardcoded pricing with zero stock quantity tracking, allowing users to buy products that are physically out of stock.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/modules/ecosystem/controller/EcosystemController.java (Lines 61-70)

[TECHNICAL ROOT CAUSE]
Store items are returned as static JSON maps without a product_inventory table or stock decrement logic upon payment capture.

[STEPS TO REPRODUCE]
1. User orders 10 units of ""QuickShift Pro Dumbbell"".
2. System accepts payment without verifying physical warehouse availability.
3. Warehouse runs out of stock; order cannot be fulfilled.

[EXPECTED BEHAVIOR]
Every product must track stock_quantity, reject purchases when stock is 0, and decrement inventory atomically on purchase.

[ACTUAL BEHAVIOR]
Static products with zero inventory tracking.

[PROPOSED RESOLUTION]
Migrate store products to Product and ProductInventory JPA entities with optimistic locking on stock decrements."
"[CR] Corporate HR Admin Portal for Managing Whitelisted Domains and Subsidies","Task","Low","corporate portal","[SEVERITY & IMPACT]
P3 - Enterprise Self-Service Management.
Corporate HR managers have no self-service dashboard to invite employees, view fitness challenge leaderboards, or deactivate passes for employees who resign.

[AFFECTED FILES & LINES]
- fitempire-web/src/
- fitempire-backend/src/main/java/com/fitempire/modules/ecosystem/

[TECHNICAL ROOT CAUSE]
No dedicated corporate portal views exist; corporate management is handled through manual database updates.

[STEPS TO REPRODUCE]
1. An employee leaves partner company.
2. HR manager has no portal to revoke the corporate subsidized gym pass.

[EXPECTED BEHAVIOR]
Corporate HR Portal allowing HR admins to upload employee rosters (CSV) and view aggregate employee health scores.

[ACTUAL BEHAVIOR]
Feature absent.

[PROPOSED RESOLUTION]
Implement corporate portal routes (/corporate/dashboard) with employee roster upload and status management."
"Corporate Pass Allows Resale Abuse Due to Missing Employee ID Card Verification","Bug","Medium","backend corporate","[SEVERITY & IMPACT]
P2 - Pass Reselling & Fraud.
Employees can claim a 100% sponsored corporate pass and give their phone or credentials to a non-employee friend to use for an entire year.

[AFFECTED FILES & LINES]
- fitempire-mobile/src/app/corporate.tsx

[TECHNICAL ROOT CAUSE]
Corporate pass onboarding does not require uploading a photo of the company physical ID badge or work badge for OCR / admin verification.

[STEPS TO REPRODUCE]
1. Employee registers with work email.
2. Employee changes profile name to their friend and hands over account credentials.
3. Friend attends gym for free under corporate sponsorship.

[EXPECTED BEHAVIOR]
Corporate pass activation should require work ID badge photo upload, and lock member profile name to match company payroll records.

[ACTUAL BEHAVIOR]
Profile name can be edited and no physical ID proof is required.

[PROPOSED RESOLUTION]
Lock profile name on corporate accounts and require corporate ID card verification before first check-in."
"Telehealth Care Doctors List Hardcoded Without Real-Time Doctor Slot Availability","Improvement","Low","backend care","[SEVERITY & IMPACT]
P3 - Content Freshness & Scheduling.
Doctors in /care/doctors display hardcoded availability ""Today, 04:30 PM"" every single day of the year, leading users to believe doctors are available when they are off-duty.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/modules/ecosystem/controller/EcosystemController.java (Lines 75-82)

[TECHNICAL ROOT CAUSE]
The care API returns static maps with hardcoded strings nextSlot: ""Today, 04:30 PM"" rather than querying active doctor schedule slots.

[STEPS TO REPRODUCE]
1. Query /api/v1/ecosystem/care/doctors at 11:59 PM.
2. Doctor still displays ""nextSlot"": ""Today, 04:30 PM"" (past time).

[EXPECTED BEHAVIOR]
Slots should calculate dynamically based on doctor calendar availability.

[ACTUAL BEHAVIOR]
Static string never updates.

[PROPOSED RESOLUTION]
Implement DoctorSchedule entity and calculate true next available appointment time."
"Missing Video Progress Tracking and Watch History in FitEmpire TV Workout Library","Improvement","Low","mobile media","[SEVERITY & IMPACT]
P3 - Workout Retention & Gamification.
When a user watches 20 minutes of a 30-minute combat workout class, their progress is not saved. Returning to the class restarts the video from 0:00 without awarding workout calories.

[AFFECTED FILES & LINES]
- fitempire-mobile/src/app/tv.tsx

[TECHNICAL ROOT CAUSE]
No video playback state listener saving watch_percentage or burning workout calories to user fitness activity log upon completion.

[STEPS TO REPRODUCE]
1. Start workout video in FitEmpire TV.
2. Complete 25 minutes of workout and exit.
3. Fitness dashboard does not record calories burned, and video displays no ""Completed"" checkmark.

[EXPECTED BEHAVIOR]
Track video watch percentage and log calories burned to daily activity log upon >= 80% completion.

[ACTUAL BEHAVIOR]
Video state discarded upon exit.

[PROPOSED RESOLUTION]
Implement video playback onPlaybackStatusUpdate listener syncing progress to /api/v1/ecosystem/tv/progress."
"Corporate Wellness Leaderboard Lacks Privacy Opt-Out for Sensitive Employee Health Stats","Improvement","Low","mobile corporate","[SEVERITY & IMPACT]
P3 - Employee Privacy & DPDP Act Compliance.
Displaying employee full names and step counts on company-wide leaderboards without an explicit opt-in/opt-out toggle causes privacy concerns among employees.

[AFFECTED FILES & LINES]
- fitempire-mobile/src/app/corporate.tsx

[TECHNICAL ROOT CAUSE]
Leaderboard query publishes all enrolled employees without checking user privacy setting hide_from_corporate_leaderboard.

[STEPS TO REPRODUCE]
1. Employee joins corporate fitness challenge.
2. Full name and workout count are displayed to all 5,000 colleagues on company leaderboard with no option to remain anonymous.

[EXPECTED BEHAVIOR]
Settings toggle allowing employees to appear as ""Anonymous Athlete"" or hide their stats from company leaderboards.

[ACTUAL BEHAVIOR]
Mandatory public display of employee health stats.

[PROPOSED RESOLUTION]
Add ""Display on Company Leaderboard"" privacy toggle in settings."
