"Summary","Issue Type","Priority","Labels","Description"
"Plaintext Production Neon Database Credentials Exposed in Source Control","Bug","Highest","security production credentials database p0-blocker","[SEVERITY & IMPACT]
P0 - Critical Security Breach. Full database compromise risk.
Anyone with read access to the GitHub repository can directly connect to the production Neon PostgreSQL database, query customer PII (passwords, phone numbers, emails), modify wallet balances, or drop tables.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/resources/application.yml (Lines 40-42)

[TECHNICAL ROOT CAUSE]
The application configuration file contains default fallback credentials pointing to the live production database host:
datasource:
  url: ${SPRING_DATASOURCE_URL:jdbc:postgresql://ep-lingering-sky-atwtj0vn-pooler.c-9.us-east-1.aws.neon.tech:5432/neondb?sslmode=require}
  username: ${SPRING_DATASOURCE_USERNAME:neondb_owner}
  password: ${SPRING_DATASOURCE_PASSWORD:[REDACTED_SECRET]}

[STEPS TO REPRODUCE]
1. Clone the FitEmpire repository.
2. Open fitempire-backend/src/main/resources/application.yml.
3. Copy the JDBC URL, username (neondb_owner), and password ([REDACTED_SECRET]).
4. Run 'psql ""postgresql://neondb_owner:[REDACTED_SECRET]@ep-lingering-sky-atwtj0vn-pooler.c-9.us-east-1.aws.neon.tech:5432/neondb?sslmode=require""'.
5. Database prompt opens with full superuser/owner privileges.

[EXPECTED BEHAVIOR]
Source code must never contain production credentials or fallback passwords. Secrets must be injected exclusively via runtime environment variables or AWS Secrets Manager.

[ACTUAL BEHAVIOR]
Production database credentials are committed in plaintext in git history.

[PROPOSED RESOLUTION]
1. Immediately rotate the password for 'neondb_owner' in the Neon Cloud Console.
2. Update application.yml to require runtime environment variables without plaintext fallbacks:
   datasource:
     url: ${SPRING_DATASOURCE_URL}
     username: ${SPRING_DATASOURCE_USERNAME}
     password: ${SPRING_DATASOURCE_PASSWORD}
3. Add a git pre-commit hook / git-secrets scan to prevent future credential commits."
"Unauthenticated Universal Password Reset Vulnerability (Account Takeover)","Bug","Highest","security auth account-takeover spring-security p0-blocker","[SEVERITY & IMPACT]
P0 - Critical Account Takeover.
Any anonymous actor on the internet can hijack any customer or administrator account without providing the current password, email OTP, or authentication token.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/security/config/SecurityConfig.java (Line 85)
- fitempire-backend/src/main/java/com/fitempire/modules/admin/AdminController.java (Lines 235-247)
- fitempire-backend/src/main/java/com/fitempire/modules/admin/AdminService.java (Lines 523-532)

[TECHNICAL ROOT CAUSE]
The endpoint POST /v1/admin/users/reset-password-by-email was marked with permitAll() in SecurityConfig and @PreAuthorize(""permitAll()"") in AdminController. It accepts a raw JSON body with 'email' and 'newPassword' and resets the database password hash immediately.

[STEPS TO REPRODUCE]
1. Target an admin or user email: 'admin@fitempire.com'.
2. Execute:
   curl -X POST ""https://ayush150152-fitempire-api.hf.space/api/v1/admin/users/reset-password-by-email"" \
     -H ""Content-Type: application/json"" \
     -d '{""email"":""admin@fitempire.com"",""newPassword"":""AttackerPassword@123""}'
3. Server returns HTTP 200: ""Password reset to AttackerPassword@123 for admin@fitempire.com"".
4. Attacker logs into the admin dashboard using the new password.

[EXPECTED BEHAVIOR]
Password resets must require either a cryptographically secure 6-digit OTP sent to the registered email or an active authenticated session with admin credentials.

[ACTUAL BEHAVIOR]
Anyone can overwrite any account password via a single unauthenticated API call.

[PROPOSED RESOLUTION]
1. Remove /v1/admin/users/reset-password-by-email from permitAll() in SecurityConfig.
2. Route all password resets through the OTP-verified flow in AuthController (POST /v1/auth/reset-password)."
"Unverified Wallet Top-Up Endpoint Allows Free Arbitrary Balance Crediting","Bug","Highest","exploit wallet billing razorpay payments p0-blocker","[SEVERITY & IMPACT]
P0 - Direct Financial Loss / Free Money Exploit.
Authenticated users can add unlimited funds (e.g. ₹10,00,000) to their FitEmpire wallet without paying real money, then use these credits to purchase memberships and merchandise.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/modules/users/controller/WalletController.java (Lines 45-60)
- fitempire-backend/src/main/java/com/fitempire/modules/users/service/WalletService.java (Lines 71-105)

[TECHNICAL ROOT CAUSE]
POST /api/v1/wallets/me/top-up directly calls walletService.creditWallet(userId, request.getAmount(), ...) without checking Razorpay payment gateway verification, payment status, or cryptographic signature.

[STEPS TO REPRODUCE]
1. Log into FitEmpire mobile app or web app.
2. Send HTTP POST to /api/v1/wallets/me/top-up with header Authorization: Bearer <TOKEN> and JSON payload:
   {""amount"": 50000, ""paymentMethod"": ""UPI""}
3. Receive HTTP 200: ""Wallet recharged successfully"".
4. GET /api/v1/wallets/me shows available balance increased by ₹50,000.

[EXPECTED BEHAVIOR]
Wallet top-ups must verify Razorpay payment signatures (razorpay_order_id, razorpay_payment_id, razorpay_signature) on the server before crediting the ledger.

[ACTUAL BEHAVIOR]
Wallet is credited immediately based entirely on untrusted client request input.

[PROPOSED RESOLUTION]
1. Convert top-up flow into a two-step process:
   - Step 1: POST /api/v1/payments/create-order (creates Razorpay order).
   - Step 2: POST /api/v1/payments/verify (validates HMAC SHA256 signature and credits wallet in a transactional block).
2. Delete the unverified /me/top-up endpoint or restrict it strictly to INTERNAL batch jobs."
"Double-Spending Race Condition in Wallet Debit Engine","Bug","Highest","concurrency race-condition wallet payments database p0-blocker","[SEVERITY & IMPACT]
P0 - Concurrency Vulnerability.
Users can exploit network race conditions (e.g. rapid double-clicking checkout) to spend more wallet balance than they possess.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/modules/users/service/WalletService.java (Lines 108-144)

[TECHNICAL ROOT CAUSE]
In WalletService.debitWallet(), the wallet entity is retrieved with simple findByUserId() without database-level locking. Under concurrent threads, both transactions read the initial balance before either commits, passing the balance check and saving overwritten values.

[STEPS TO REPRODUCE]
1. User wallet balance is ₹500.
2. User fires two simultaneous checkout requests for ₹400 each (Total ₹800).
3. Thread A reads 500 >= 400 (True).
4. Thread B reads 500 >= 400 (True).
5. Thread A subtracts 400 -> balance becomes 100.
6. Thread B subtracts 400 -> balance becomes 100.
7. User receives ₹800 worth of services while spending only ₹400.

[EXPECTED BEHAVIOR]
Database must enforce row-level locking (SELECT FOR UPDATE) or optimistic locking (@Version). The second concurrent transaction must fail with INSUFFICIENT_FUNDS.

[ACTUAL BEHAVIOR]
Lost update anomaly allows spending more credits than available.

[PROPOSED RESOLUTION]
1. Add pessimistic write lock to WalletRepository:
   @Lock(LockModeType.PESSIMISTIC_WRITE)
   @Query(""SELECT w FROM Wallet w WHERE w.user.id = :userId"")
   Optional<Wallet> findByUserIdForUpdate(@Param(""userId"") UUID userId);
2. Use findByUserIdForUpdate in debitWallet().
3. Add an @Version column to the Wallet entity."
"Unrestricted Public Media Upload Allows Stored XSS & Arbitrary File Storage","Bug","Highest","security upload xss file-storage public-api p0-blocker","[SEVERITY & IMPACT]
P0 - Stored Cross-Site Scripting (XSS) & Arbitrary File Upload.
Unauthenticated users can upload arbitrary HTML, SVG, script, or executable files that are permanently stored and served publicly from the server domain.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/security/config/SecurityConfig.java (Lines 86-87)
- fitempire-backend/src/main/java/com/fitempire/controller/FileUploadController.java (Lines 107-140)

[TECHNICAL ROOT CAUSE]
1. POST /v1/media/upload is permitted for all anonymous requests.
2. The controller does not check file MIME types, content signatures (magic bytes), or extensions.
3. Original file extensions (.html, .svg, .exe) are preserved and served under /uploads/** with permitAll().

[STEPS TO REPRODUCE]
1. Create a file 'payload.html' containing: <script>alert(document.cookie)</script>.
2. Run:
   curl -X POST -F ""file=@payload.html"" ""https://ayush150152-fitempire-api.hf.space/api/v1/media/upload""
3. Receive URL: https://ayush150152-fitempire-api.hf.space/uploads/uploads/UUID.html.
4. Open the link in a web browser; the JavaScript executes under the API domain context.

[EXPECTED BEHAVIOR]
Media upload must require authentication, enforce a strict MIME whitelist (image/jpeg, image/png, image/webp), limit file sizes to 5MB, and serve user uploads with Content-Disposition: attachment.

[ACTUAL BEHAVIOR]
Unauthenticated arbitrary file upload with direct browser execution.

[PROPOSED RESOLUTION]
1. Require Authentication for /v1/media/upload.
2. Validate content type using Apache Tika or explicit whitelist.
3. Add response header 'X-Content-Type-Options: nosniff' and serve user uploads from a dedicated CDN sandbox."
"Scanner Auto-Grants Entry on API Failure via Fallback Handler","Bug","Highest","security access-control partner scanner bypass p0-blocker","[SEVERITY & IMPACT]
P0 - Complete Physical Access Control Bypass.
Any person presenting a fake, expired, or non-existent QR pass is automatically granted turnstile entry whenever the backend returns an error or network drops.

[AFFECTED FILES & LINES]
- fitempire-partner/src/pages/ScannerPage.tsx (Lines 69-95)

[TECHNICAL ROOT CAUSE]
Inside handleVerify(), the catch (err) block catches API rejections and auto-injects a mock active member object with verifiedSuccess = true:
catch (err: any) {
  const fallbackData = {
    memberName: 'Rahul Sharma',
    passTier: 'FitEmpire All-Access Gold',
    status: 'CHECKED_IN',
  };
  setScanResult(fallbackData);
  setVerifiedSuccess(true);
}

[STEPS TO REPRODUCE]
1. Open the partner portal at https://fitempirepartner.vercel.app/scanner.
2. Enter an invalid code: 'INVALID-EXPIRED-CODE-0000'.
3. Click 'Verify Pass'.
4. Scanner catch block triggers, showing a green checkmark: 'VERIFIED ACTIVE PASS - ACCESS GRANTED' for Rahul Sharma.

[EXPECTED BEHAVIOR]
If the API returns an error or the pass is invalid, the scanner must display a red 'ACCESS DENIED' banner and refuse entry.

[ACTUAL BEHAVIOR]
API failure triggers automatic access approval with mock data.

[PROPOSED RESOLUTION]
1. Replace catch block with:
   catch (err: any) {
     setScanResult(null);
     setVerifiedSuccess(false);
     setError(err.response?.data?.message || 'Verification failed. Pass is invalid or expired.');
   }"
"QR Verification Auto-Creates Fake Attendance on Random User for Invalid Codes","Bug","High","data-integrity checkin bookings backend audit p1-high","[SEVERITY & IMPACT]
P1 - Data Corruption & False Billing.
Scanning an unrecognized QR token causes the backend to create a real attendance record against 'testuser@fitempire.in' or any active user in the database with status CHECKED_IN and ₹299 amount.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/modules/bookings/service/BookingService.java (Lines 139-170)

[TECHNICAL ROOT CAUSE]
In verifyAndCheckIn(), if bookingRepository.findByQrToken(cleanToken) returns empty, fallback logic queries the database for 'testuser@fitempire.in' or the first active user, creates a new Booking object, and saves it as checked in.

[STEPS TO REPRODUCE]
1. Send POST /api/v1/bookings/verify-qr with {""token"": ""COMPLETELY_RANDOM_GARBAGE""}.
2. Server responds HTTP 200 with status: CHECKED_IN.
3. Query database table 'bookings': a new checked-in record is created.

[EXPECTED BEHAVIOR]
If token does not match any valid booking, the API must return HTTP 404 / 400 with message ""Invalid or expired QR token"".

[ACTUAL BEHAVIOR]
Phantom bookings are generated and saved against random database users.

[PROPOSED RESOLUTION]
Remove the fallback user creation block and throw:
throw new BusinessException(""QR Pass not found or expired"", ""INVALID_PASS"", HttpStatus.NOT_FOUND);"
"Missing Slot Capacity & Double-Booking Validations in Booking Service","Bug","High","business-logic bookings capacity gym-management p1-high","[SEVERITY & IMPACT]
P1 - Overbooking & Physical Capacity Violation.
Users can book an unlimited number of slots at the same gym and time, exceeding gym capacity. Single users can also create overlapping bookings in multiple cities simultaneously.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/modules/bookings/service/BookingService.java (Lines 46-78)

[TECHNICAL ROOT CAUSE]
createBooking() does not query existing bookings for the specified branch and slot, nor does it check if the user already has a conflicting reservation.

[STEPS TO REPRODUCE]
1. Create a script sending 50 concurrent booking requests for the same branch and time slot.
2. All 50 return HTTP 200 CONFIRMED even if gym capacity is 20.
3. User can also book 8:00 AM slots in Delhi and Bangalore on the same day.

[EXPECTED BEHAVIOR]
1. If existing active bookings >= branch.maxCapacity, reject with ""Slot is fully booked"".
2. If user already has an active booking for that date/time window, reject with ""Conflicting booking exists"".

[ACTUAL BEHAVIOR]
Infinite bookings are accepted without capacity or conflict checks.

[PROPOSED RESOLUTION]
Add capacity verification in BookingService:
long count = bookingRepository.countByBranchIdAndBookingDateAndStartTimeAndStatusNot(branchId, date, time, BookingStatus.CANCELLED);
if (count >= branch.getMaxCapacity()) {
    throw new BusinessException(""Slot is fully booked"", ""SLOT_FULL"", HttpStatus.BAD_REQUEST);
}"
"Zero-Cost Bookings Allowed Without Active Membership Verification","Bug","High","revenue-leakage bookings membership paywall p1-high","[SEVERITY & IMPACT]
P1 - Revenue Leakage.
Any registered user with a free account can book workouts and gym access indefinitely without buying a membership pass.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/modules/bookings/service/BookingService.java (Lines 56-75)

[TECHNICAL ROOT CAUSE]
createBooking() sets booking.setAmountPaid(BigDecimal.ZERO) and status CONFIRMED without checking if the user has an active membership pass or sufficient wallet credits.

[STEPS TO REPRODUCE]
1. Register a new user. Do not purchase any pass.
2. Call POST /api/v1/bookings with valid gymId and branchId.
3. Booking succeeds with status CONFIRMED and generates a turnstile QR code.

[EXPECTED BEHAVIOR]
Booking must verify user has an active membership covering the target bookingDate, or deduct 1 session credit. If neither exists, respond HTTP 402 Payment Required.

[ACTUAL BEHAVIOR]
Unmetered access granted to unpaying users.

[PROPOSED RESOLUTION]
Inject UserMembershipRepository and validate:
boolean hasActivePass = userMembershipRepository.existsActivePassForUserOnDate(userId, request.getBookingDate());
if (!hasActivePass) {
    throw new BusinessException(""Active membership required to book sessions"", ""NO_ACTIVE_MEMBERSHIP"", HttpStatus.PAYMENT_REQUIRED);
}"
"Insecure CORS Configuration: Wildcard Origin Allowed with Credentials","Bug","High","security cors headers browser-security p1-high","[SEVERITY & IMPACT]
P1 - Cross-Origin Security Misconfiguration.
Wildcard origins combined with allowed credentials permit untrusted third-party websites to make authenticated AJAX requests and inspect sensitive response data.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/security/config/SecurityConfig.java (Lines 174-178)

[TECHNICAL ROOT CAUSE]
In corsConfigurationSource():
config.setAllowedOriginPatterns(Arrays.asList(""*""));
config.setAllowCredentials(true);
This overrides the specific allowedOrigins list with a permissive wildcard.

[STEPS TO REPRODUCE]
1. Send curl preflight request:
   curl -X OPTIONS ""https://ayush150152-fitempire-api.hf.space/api/v1/users/profile/me"" \
     -H ""Origin: https://attacker-website.com"" \
     -H ""Access-Control-Request-Method: GET""
2. Response headers reflect:
   Access-Control-Allow-Origin: https://attacker-website.com
   Access-Control-Allow-Credentials: true

[EXPECTED BEHAVIOR]
Only authorized production domains (fitempire.tech, fitempiremobile.vercel.app, fitempirepartner.vercel.app) should be reflected in Access-Control-Allow-Origin.

[ACTUAL BEHAVIOR]
Any origin is permitted with credentials.

[PROPOSED RESOLUTION]
Remove setAllowedOriginPatterns(Arrays.asList(""*"")) and set allowed origins to explicit trusted URLs only."
