"Summary","Issue Type","Priority","Component","Description"
"Plaintext Production Neon Database Credentials Exposed in Source Control","Bug","Highest","Infrastructure & Security","Affected File: fitempire-backend/src/main/resources/application.yml (Lines 40-42)

Description:
The production PostgreSQL connection string and database credentials for Neon AWS Tech are hardcoded in plaintext:
datasource:
  url: ${SPRING_DATASOURCE_URL:jdbc:postgresql://ep-lingering-sky-atwtj0vn-pooler.c-9.us-east-1.aws.neon.tech:5432/neondb?sslmode=require}
  username: ${SPRING_DATASOURCE_USERNAME:neondb_owner}
  password: ${SPRING_DATASOURCE_PASSWORD:[REDACTED_SECRET]}

Impact:
Anyone with repository access can directly connect to the production database, view PII, modify balances, or drop tables.

Proposed Fix:
1. Rotate database password immediately in Neon console.
2. Remove hardcoded fallback password from application.yml and use strictly environment variables."
"Unauthenticated Universal Password Reset Vulnerability (Account Takeover)","Bug","Highest","Admin & Auth","Affected Files:
- fitempire-backend/src/main/java/com/fitempire/security/config/SecurityConfig.java (Line 85)
- fitempire-backend/src/main/java/com/fitempire/modules/admin/AdminController.java (Lines 235-247)

Description:
The endpoint POST /v1/admin/users/reset-password-by-email is configured as permitAll() in Spring Security. It accepts an email and newPassword directly without requiring current password, OTP, or admin authentication.

Impact:
Any anonymous user can reset any administrator or customer password to Password@123 with a single unauthenticated HTTP POST.

Proposed Fix:
Remove reset-password-by-email from permitAll() in SecurityConfig and require verified OTP confirmation."
"Unverified Wallet Top-Up Endpoint Allows Free Arbitrary Balance Crediting","Bug","Highest","Wallet & Payments","Affected File: fitempire-backend/src/main/java/com/fitempire/modules/users/controller/WalletController.java (Lines 45-60)

Description:
The endpoint POST /api/v1/wallets/me/top-up directly calls walletService.creditWallet() without verifying payment gateway transaction status, Razorpay signature, or order ID.

Impact:
Any logged in user can credit arbitrary funds to their wallet for free and buy memberships.

Proposed Fix:
Deprecate direct client-side top-up requests. Require Razorpay order verification before crediting wallet balance."
"Double-Spending Race Condition in Wallet Debit Engine","Bug","Highest","Wallet & Payments","Affected File: fitempire-backend/src/main/java/com/fitempire/modules/users/service/WalletService.java (Lines 108-128)

Description:
debitWallet() retrieves the wallet entity via findByUserId() without a pessimistic write lock (SELECT FOR UPDATE) or optimistic version checking.

Impact:
Two concurrent debit requests can read the same initial balance simultaneously and save overwritten balances, allowing double spending.

Proposed Fix:
Implement pessimistic write locking on WalletRepository using @Lock(LockModeType.PESSIMISTIC_WRITE) and add @Version to Wallet entity."
"Unrestricted Public Media Upload Allows Stored XSS & Arbitrary File Storage","Bug","Highest","Media & Storage","Affected Files:
- fitempire-backend/src/main/java/com/fitempire/security/config/SecurityConfig.java (Lines 86-87)
- fitempire-backend/src/main/java/com/fitempire/controller/FileUploadController.java (Lines 107-139)

Description:
The endpoint POST /v1/media/upload is public (permitAll()). It accepts any file without checking MIME types or extensions and saves it directly under /uploads/.

Impact:
Attackers can upload malicious .html, .svg with embedded JavaScript, or executables, causing Stored XSS under the domain origin.

Proposed Fix:
Restrict /v1/media/upload to authenticated users with ADMIN or GYM_PARTNER roles and validate MIME types against strict image whitelist."
"Scanner Auto-Grants Entry on API Failure via Fallback Handler","Bug","Highest","Partner Portal - Scanner","Affected File: fitempire-partner/src/pages/ScannerPage.tsx (Lines 69-95)

Description:
When an invalid, expired, or non-existent QR token is scanned, or when network drops, handleVerify catches the error and sets dummy fallback data with verifiedSuccess = true.

Impact:
Any individual can present a fake QR code; upon API error, the receptionist screen displays a green 'Access Granted' confirmation.

Proposed Fix:
In catch block, set setVerifiedSuccess(false) and populate setError('Invalid or expired QR pass. Entry denied.')."
"QR Verification Auto-Creates Fake Attendance on Random User for Invalid Codes","Bug","High","Check-In Service","Affected File: fitempire-backend/src/main/java/com/fitempire/modules/bookings/service/BookingService.java (Lines 139-170)

Description:
In verifyAndCheckIn(), if a booking is not found by token, it creates a real database entry for testuser@fitempire.in or the first active user found in the DB and marks it CHECKED_IN.

Impact:
Invalid scan requests corrupt production attendance analytics and bill or register fake attendances against real users.

Proposed Fix:
Throw BusinessException('Invalid or expired QR pass', 'INVALID_TOKEN', HttpStatus.NOT_FOUND) whenever booking == null."
"Missing Slot Capacity & Double-Booking Validations in Booking Service","Bug","High","Bookings Module","Affected File: fitempire-backend/src/main/java/com/fitempire/modules/bookings/service/BookingService.java (Lines 46-78)

Description:
createBooking() does not validate slot capacity or check whether the user already has an active booking at the same date and time.

Impact:
Gyms and studio classes can be overbooked beyond capacity, and users can hoard multiple slots simultaneously.

Proposed Fix:
Verify existing bookings count against branch maxCapacity and ensure user does not have duplicate booking for that time window."
"Zero-Cost Bookings Allowed Without Active Membership Verification","Bug","High","Bookings Module","Affected File: fitempire-backend/src/main/java/com/fitempire/modules/bookings/service/BookingService.java (Lines 56-75)

Description:
createBooking() sets booking.setAmountPaid(BigDecimal.ZERO) and confirms the booking without checking whether the user possesses an active subscription or session credits.

Impact:
Users with expired or canceled accounts can continue booking workouts without payment.

Proposed Fix:
Inject UserMembershipRepository and validate that user has an active, non-frozen pass covering the target date."
"Insecure CORS Configuration: Wildcard Origin Allowed with Credentials","Bug","High","Security & Config","Affected File: fitempire-backend/src/main/java/com/fitempire/security/config/SecurityConfig.java (Lines 174-178)

Description:
CORS configuration combines wildcard origin patterns with credential sharing:
config.setAllowedOriginPatterns(Arrays.asList('*'));
config.setAllowCredentials(true);

Impact:
Any malicious website running in an authenticated user's browser can perform cross-origin requests and read sensitive response headers.

Proposed Fix:
Remove wildcard origin patterns and restrict strictly to configured domain whitelist."
